Date,Description,Amount,Running Bal.,
2023-11-10,CHIPOTLE 0590 11/09 MOBILE PURCHASE NEW YORK NY,-12.19,200.81,
2023-11-13,CHIPOTLE 0590 11/10 MOBILE PURCHASE NEW YORK NY,-14.1,186.71,
2023-11-13,MTA*NYCT PAYGO 11/11 MOBILE PURCHASE NEW YORK NY,-2.9,183.81,
2023-11-13,SQ *CAFE EAST INC. 11/11 MOBILE PURCHASE New York NY,-13.01,170.8,
2023-11-13,MTA*NYCT PAYGO 11/11 MOBILE PURCHASE NEW YORK NY,-2.9,167.9,
2023-11-13,SQ *OLIVA 11/11 MOBILE PURCHASE Jersey City NJ,-10.27,157.63,
2023-11-13,MTA*PATH SMART 11/12 PURCHASE NEW YORK NY,-26,131.63,
2023-11-13,CHIPOTLE 0590 11/12 MOBILE PURCHASE NEW YORK NY,-12.19,119.44,
2023-11-13,CHIPOTLE 0590 11/12 MOBILE PURCHASE NEW YORK NY,-12.19,107.25,
2023-11-14,NYU STARBUCKS CAFE 11/12 MOBILE PURCHASE NEW YORK NY,-6.81,100.44,
2023-11-14,SQ *MATTO APP 11/13 PURCHASE gosq.com NY,-20,80.44,
2023-11-14,Subway 1859 11/13 MOBILE PURCHASE New York NY,-10.74,69.7,
2023-11-15,Online Banking transfer from SAV 0485 Confirmation# XXXXX44737,500,569.7,
2023-11-15,SQ *MATTO APP 11/14 PURCHASE gosq.com NY,-10,559.7,
2023-11-15,Subway 1859 11/14 MOBILE PURCHASE New York NY,-8.15,551.55,
2023-11-16,MTA*NYCT PAYGO 11/14 MOBILE PURCHASE NEW YORK NY,-2.9,548.65,
2023-11-16,MACHI MACHI (KIOSK) 11/14 MOBILE PURCHASE XXX-XX305592 IL,-7.03,541.62,
2023-11-16,TST* BB.Q CHICKEN USA - 11/14 MOBILE PURCHASE NEW YORK NY,-15.23,526.39,
2023-11-16,SQ *MATTO APP 11/15 PURCHASE gosq.com NY,-15,511.39,
2023-11-16,CHIPOTLE 0590 11/15 MOBILE PURCHASE NEW YORK NY,-11.39,500,
2023-11-20,Online Banking transfer from SAV 0485 Confirmation# XXXXX14651,150,650,
2023-11-20,VZWRLSS*APOCC VISN 11/18 PURCHASE 800-922-0204 FL,-465.3,184.7,
2023-11-20,NYU STARBUCKS CAFE 11/18 MOBILE PURCHASE NEW YORK NY,-5.17,179.53,
2023-11-20,Subway 1859 11/18 MOBILE PURCHASE New York NY,-16.32,163.21,
2023-11-20,Duane Reade ST 11/18 MOBILE PURCHASE JERSEY CITY NJ,-6.7,156.51,
2023-11-20,CMSVEND*CV AVENEL 11/19 PURCHASE AVENEL NJ,-2.5,154.01,
2023-11-20,Subway 1859 11/19 PURCHASE XXX-XX681222 NY,-11.16,142.85,
2023-11-20,CMSVEND*CV AVENEL 11/19 MOBILE PURCHASE AVENEL NJ,-1.5,141.35,
2023-11-20,TRADER JOE S # 11/19 MOBILE PURCHASE NEW YORK NY,-83.5,57.85,
2023-11-21,Monthly Maintenance Fee,-12,45.85,
2023-11-27,CMSVEND*CV AVENEL 11/25 MOBILE PURCHASE AVENEL NJ,-1.5,44.35,
2023-11-27,SQ *THINK COFFEE MERCER 11/25 MOBILE PURCHASE New York NY,-5.72,38.63,
2023-11-27,MTA*PATH SMART 11/26 PURCHASE NEW YORK NY,-26,12.63,
2023-11-27,MTA*NYCT PAYGO 11/26 MOBILE PURCHASE NEW YORK NY,-2.9,9.73,
2023-11-27,CMSVEND*CV AVENEL 11/26 MOBILE PURCHASE AVENEL NJ,-1.5,8.23,
2023-12-01,MTA*NYCT PAYGO 11/29 MOBILE PURCHASE NEW YORK NY,-2.9,5.33,
2023-12-01,CMSVEND*CV AVENEL 11/30 MOBILE PURCHASE AVENEL NJ,-2.5,2.83,
2023-12-04,Online Banking transfer from SAV 0485 Confirmation# XXXXX85276,"1,000.00","1,002.83",
2023-12-07,NYU BOOKSTORE #2015 12/05 MOBILE PURCHASE NEW YORK NY,-20.8,982.03,
2023-12-08,SQ *MATTO APP 12/07 PURCHASE gosq.com NY,-10,972.03,
2023-12-08,Subway 1859 12/07 PURCHASE XXX-XX681222 NY,-11.16,960.87,
2023-12-11,SQ *MATTO APP 12/08 PURCHASE gosq.com NY,-10,950.87,
2023-12-11,Subway 1859 12/09 MOBILE PURCHASE New York NY,-8.15,942.72,
2023-12-11,Subway 1859 12/09 PURCHASE XXX-XX681222 NY,-13.05,929.67,
2023-12-11,NYU STARBUCKS CAFE 12/09 MOBILE PURCHASE NEW YORK NY,-5.5,924.17,
2023-12-12,Subway 1859 12/11 PURCHASE XXX-XX681222 NY,-8.15,916.02,
2023-12-13,TST* SPRING CAFE - NYC 12/11 MOBILE PURCHASE New York NY,-6.53,909.49,
2023-12-13,VZWRLSS*APOCC VISN 12/12 PURCHASE 800-922-0204 FL,-233.24,676.25,
2023-12-13,VERIZON*RECURRING PAY 12/12 PURCHASE 800-VERIZON FL,-89.99,586.26,
2023-12-13,SQ *MATTO APP 12/12 PURCHASE gosq.com NY,-15,571.26,
2023-12-13,Subway 1859 12/12 PURCHASE XXX-XX681222 NY,-13.05,558.21,
2023-12-13,MTA*PATH SMART 12/13 PURCHASE NEW YORK NY,-26,532.21,
2023-12-14,CMSVEND*CV AVENEL 12/13 PURCHASE AVENEL NJ,-2.75,529.46,
2023-12-14,GROVE SMOKE SHOP 12/13 MOBILE PURCHASE JERSEY CITY NJ,-6,523.46,
2023-12-15,Subway 1859 12/14 MOBILE PURCHASE New York NY,-8.15,515.31,
2023-12-18,MTA*NYCT PAYGO 12/14 MOBILE PURCHASE NEW YORK NY,-2.9,512.41,
2023-12-19,Duane Reade ST 12/19 MOBILE PURCHASE JERSEY CITY NJ,-7.28,505.13,
2023-12-20,McDonalds 13654 12/18 PURCHASE JERSEY CITY NJ,-21.07,484.06,
2023-12-20,Monthly Maintenance Fee,-12,472.06,
2023-12-21,McDonalds 13654 12/19 PURCHASE JERSEY CITY NJ,-16.81,455.25,
2023-12-21,AMAZON GROCE*877OR2HY3 12/20 PURCHASE SEATTLE WA,-50.84,404.41,
2023-12-21,CMSVEND*CV AVENEL 12/20 MOBILE PURCHASE AVENEL NJ,-1.5,402.91,
2023-12-21,CMSVEND*CV AVENEL 12/20 MOBILE PURCHASE AVENEL NJ,-2.5,400.41,
2023-12-21,SQ *SHAKE SHACK 12/20 MOBILE PURCHASE Jersey City NJ,-13.09,387.32,
2023-12-22,SQ *MATTO APP 12/21 PURCHASE gosq.com NY,-10,377.32,
2023-12-22,Duane Reade ST 12/21 MOBILE PURCHASE JERSEY CITY NJ,-3.81,373.51,
2023-12-22,NYU HEALTH CTR 12/22 MOBILE PURCHASE NEW YORK NY,-20,353.51,
2023-12-26,NYU STARBUCKS CAFE 12/21 MOBILE PURCHASE NEW YORK NY,-7.13,346.38,
2023-12-26,MTA*NYCT PAYGO 12/21 MOBILE PURCHASE NEW YORK NY,-2.9,343.48,
2023-12-26,MTA*NYCT PAYGO 12/22 MOBILE PURCHASE NEW YORK NY,-2.9,340.58,
2023-12-26,NYU STARBUCKS CAFE 12/22 MOBILE PURCHASE NEW YORK NY,-11.43,329.15,
2023-12-26,Subway 1859 12/22 MOBILE PURCHASE New York NY,-13.05,316.1,
2023-12-26,Duane Reade ST 12/22 MOBILE PURCHASE JERSEY CITY NJ,-1.99,314.11,
2023-12-26,Duane Reade ST 12/24 MOBILE PURCHASE JERSEY CITY NJ,-10.77,303.34,
2023-12-26,MTA*NYCT PAYGO 12/25 MOBILE PURCHASE NEW YORK NY,-2.9,300.44,
2023-12-27,AMAZON GROCE*6S32M5T63 12/24 PURCHASE SEATTLE WA,-57.33,243.11,
2023-12-27,MTA*NYCT PAYGO 12/25 MOBILE PURCHASE NEW YORK NY,-2.9,240.21,
2023-12-28,Online Banking transfer from SAV 0485 Confirmation# XXXXX54358,500,740.21,
2023-12-28,STARBUCKS 54878 12/26 MOBILE PURCHASE NEW YORK NY,-12.74,727.47,
2023-12-28,Shanghai 21 12/26 MOBILE PURCHASE New York NY,-60.59,666.88,
2023-12-28,MTA*NYCT PAYGO 12/26 MOBILE PURCHASE NEW YORK NY,-2.9,663.98,
2023-12-28,AMAZON TIPS*LR7WS61E3 12/27 PURCHASE SEATTLE WA,-5,658.98,
2024-01-02,AMAZON GROCE*ZL8IM3PZ3 12/28 PURCHASE SEATTLE WA,-109.81,549.17,
2024-01-02,AMAZON TIPS*ND6T06G83 12/30 PURCHASE SEATTLE WA,-5,544.17,
2024-01-02,ORGANIC TOWN DELI AND G 12/31 MOBILE PURCHASE RIDGEWOOD NY,-8.32,535.85,
2024-01-02,MTA*PATH SMART 01/02 PURCHASE NEW YORK NY,-26,509.85,
2024-01-03,BREWSHOTCAFE_1 01/02 MOBILE PURCHASE JERSEY CITY NJ,-4.42,505.43,
2024-01-04,BISMILLAH GIFT CORP 01/02 MOBILE PURCHASE NEW YORK NY,-10,495.43,
2024-01-04,TST* FRESH & CO - 729 B 01/02 MOBILE PURCHASE NEW YORK NY,-11.94,483.49,
2024-01-04,TST* SPRING CAFE - NYC 01/02 MOBILE PURCHASE New York NY,-4.36,479.13,
2024-01-05,Subway 1859 01/04 MOBILE PURCHASE New York NY,-8.15,470.98,
2024-01-05,SQ *MATTO APP 01/04 PURCHASE gosq.com NY,-10,460.98,
2024-01-08,AMAZON GROCE*TK7RG1Z91 01/04 PURCHASE SEATTLE WA,-110.21,350.77,
2024-01-08,Subway 1859 01/05 MOBILE PURCHASE New York NY,-9.15,341.62,
2024-01-08,AMZN MKTP US*TK4V67AN1 01/06 PURCHASE SEATTLE WA,-21.3,320.32,
2024-01-08,AMAZON TIPS*TK8CZ1EQ1 01/06 PURCHASE SEATTLE WA,-5,315.32,
2024-01-08,MTA*NYCT PAYGO 01/07 MOBILE PURCHASE NEW YORK NY,-2.9,312.42,
2024-01-09,TEAZZI TEA SHOP-JERSEY 01/08 MOBILE PURCHASE JERSEY CITY NJ,-8.26,304.16,
2024-01-11,SQ *MATTO APP 01/10 PURCHASE gosq.com NY,-10,294.16,
2024-01-12,Online Banking transfer from SAV 0485 Confirmation# XXXXX60993,500,794.16,
2024-01-12,VZWRLSS*APOCC VISN 01/12 PURCHASE 800-922-0204 FL,-216.52,577.64,
2024-01-16,VERIZON*RECURRING PAY 01/12 PURCHASE 800-VERIZON FL,-89.99,487.65,
2024-01-16,SQ *MATTO APP 01/12 PURCHASE gosq.com NY,-15,472.65,
2024-01-16,CARIBBEAN KING 01/12 MOBILE PURCHASE BROOKLYN NY,-5.64,467.01,
2024-01-16,DELI PLUS 01/12 MOBILE PURCHASE JERSEY CITY NJ,-9.83,457.18,
2024-01-16,MTA*NYCT PAYGO 01/13 MOBILE PURCHASE NEW YORK NY,-2.9,454.28,
2024-01-16,SQ *CAFE #65229 59TH & 01/13 MOBILE PURCHASE New York NY,-10.89,443.39,
2024-01-16,MTA*NYCT PAYGO 01/13 MOBILE PURCHASE NEW YORK NY,-2.9,440.49,
2024-01-16,MTA*NYCT PAYGO 01/14 MOBILE PURCHASE NEW YORK NY,-2.9,437.59,
2024-01-16,CMSVEND*CV AVENEL 01/14 MOBILE PURCHASE AVENEL NJ,-1.5,436.09,
2024-01-16,Duane Reade ST 01/15 MOBILE PURCHASE JERSEY CITY NJ,-3.49,432.6,
2024-01-16,SQ *SHAKE SHACK 01/15 MOBILE PURCHASE Jersey City NJ,-5.75,426.85,
2024-01-19,MTA*NYCT PAYGO 01/17 MOBILE PURCHASE NEW YORK NY,-2.9,423.95,
2024-01-19,SQ *MATTO APP 01/18 PURCHASE gosq.com NY,-10,413.95,
2024-01-19,CHIPOTLE 0590 01/18 MOBILE PURCHASE NEW YORK NY,-12.19,401.76,
2024-01-22,TST* PEPPERCORN STATION 01/19 MOBILE PURCHASE Jersey City NJ,-36.14,365.62,
2024-01-22,CMSVEND*CV AVENEL 01/20 MOBILE PURCHASE AVENEL NJ,-1.5,364.12,
2024-01-22,CHIPOTLE 0590 01/20 MOBILE PURCHASE NEW YORK NY,-12.19,351.93,
2024-01-22,AMAZON GROCE*R88SQ3HI2 01/20 PURCHASE SEATTLE WA,-117.24,234.69,
2024-01-22,LinkedIn XXXXX66344 01/21 PURCHASE XXX-XX35653 CA,-20,214.69,
2024-01-22,CMSVEND*CV AVENEL 01/21 MOBILE PURCHASE AVENEL NJ,-2.5,212.19,
2024-01-22,Duane Reade ST 01/22 MOBILE PURCHASE JERSEY CITY NJ,-6.78,205.41,
2024-01-23,AMAZON TIPS*R82PP5531 01/22 PURCHASE SEATTLE WA,-7,198.41,
2024-01-23,SQ *295 GROVE ST 01/22 MOBILE PURCHASE Jersey City NJ,-6,192.41,
2024-01-23,MTA*PATH SMART 01/23 PURCHASE NEW YORK NY,-26,166.41,
2024-01-23,NYU HEALTH CTR 01/23 MOBILE PURCHASE NEW YORK NY,-20,146.41,
2024-01-23,Monthly Maintenance Fee,-12,134.41,
2024-01-24,Online Banking transfer from SAV 0485 Confirmation# XXXXX16196,500,634.41,
2024-01-24,RED FEAST WINE & LIQUOR 01/22 MOBILE PURCHASE JERSEY CITY NJ,-13.85,620.56,
2024-01-24,SQ *MATTO APP 01/23 PURCHASE gosq.com NY,-15,605.56,
2024-01-24,CHIPOTLE 0590 01/23 MOBILE PURCHASE NEW YORK NY,-12.19,593.37,
2024-01-24,CMSVEND*CV AVENEL 01/23 PURCHASE AVENEL NJ,-2.75,590.62,
2024-01-25,RAMINI ESPRESSO BAR 01/24 MOBILE PURCHASE NEW YORK NY,-5.2,585.42,
2024-01-26,MTA*NYCT PAYGO 01/24 MOBILE PURCHASE NEW YORK NY,-2.9,582.52,
2024-01-26,CHIPOTLE 0590 01/25 MOBILE PURCHASE NEW YORK NY,-12.19,570.33,
2024-01-29,DREAM VISTA 01/27 MOBILE PURCHASE JERSEY CITY NJ,-12.2,558.13,
2024-01-29,DREAM VISTA 01/27 MOBILE PURCHASE JERSEY CITY NJ,-4.5,553.63,
2024-01-29,SQ *THE MANHATTAN MONST 01/27 MOBILE PURCHASE New York NY,-8,545.63,
2024-01-30,CHIPOTLE 0590 01/29 MOBILE PURCHASE NEW YORK NY,-12.19,533.44,
2024-01-30,NYU HEALTH CTR 01/30 MOBILE PURCHASE NEW YORK NY,-20,513.44,
2024-01-31,Subway 1859 01/30 MOBILE PURCHASE New York NY,-8.87,504.57,
2024-01-31,SQ *MATTO APP 01/30 PURCHASE gosq.com NY,-10,494.57,
2024-01-31,SQ *MATTO APP 01/30 PURCHASE gosq.com NY,-10,484.57,
2024-02-01,MTA*NYCT PAYGO 01/30 MOBILE PURCHASE NEW YORK NY,-2.9,481.67,
2024-02-01,Subway 1859 01/31 MOBILE PURCHASE New York NY,-8.37,473.3,
2024-02-02,SQ *MATTO APP 02/01 PURCHASE gosq.com NY,-10,463.3,
2024-02-02,Duane Reade ST 02/01 MOBILE PURCHASE JERSEY CITY NJ,-1.98,461.32,
2024-02-05,AMAZON GROCE*R27OZ2U40 02/01 PURCHASE SEATTLE WA,-105.69,355.63,
2024-02-05,MTA*NYCT PAYGO 02/02 MOBILE PURCHASE NEW YORK NY,-2.9,352.73,
2024-02-05,AMAZON TIPS*R26KR1JQ1 02/03 PURCHASE SEATTLE WA,-5,347.73,
2024-02-05,BEECHWOOD CAFE 02/03 MOBILE PURCHASE JERSEY CITY NJ,-19.06,328.67,
2024-02-05,SQ *295 GROVE ST 02/03 MOBILE PURCHASE Jersey City NJ,-5,323.67,
2024-02-05,SQ *295 GROVE ST 02/04 MOBILE PURCHASE Jersey City NJ,-5,318.67,
2024-02-05,SQ *295 GROVE ST 02/04 MOBILE PURCHASE Jersey City NJ,-4.75,313.92,
2024-02-06,SQ *295 GROVE ST 02/05 MOBILE PURCHASE Jersey City NJ,-6,307.92,
2024-02-06,NYU HEALTH CTR 02/06 MOBILE PURCHASE NEW YORK NY,-15,292.92,
2024-02-06,NYU HEALTH CTR 02/06 MOBILE PURCHASE NEW YORK NY,-5.99,286.93,
