Description,,Summary Amt.,,
11/21/23,WIRE TYPE:INTL IN DATE:231121 TIME:0443 ET TRN:XXXXXXXXXX150624 SEQ:110ORXXXXX2403/668916 ORIG:1/HE SHIWEI ID:XXXXXXXXXX741727 ORIG BK:CHINA MERCHANTS BANK ID:CMBCCNBS201 PMT DET: $15.00 FEE DEDUCT,"2,185.00","2,541.18",
11/21/23,Wire Transfer Fee,-15,"2,526.18",
11/22/23,Interest Earned,0.01,"2,526.19",
11/27/23,Zelle payment from BOLIN XIAO Conf# k553x1qr4,39.23,"2,565.42",
12/1/23,Zelle payment to XIYUAN Conf# nn4hjuvvu,-35,"2,530.42",
12/4/23,Zelle payment from YIN WANG Conf# bc1hmuwa1,34.8,"2,565.22",
12/4/23,Zelle payment from ZHUOXI WANG Conf# 99a5yyh89,34.78,"2,600.00",
12/4/23,Zelle payment from XIAOAN LIU Conf# ede1d7jlk,20,"2,620.00",
12/4/23,Zelle payment from YULU HE Conf# a616at7iz,19.78,"2,639.78",
12/4/23,Zelle payment from MAOYING HAN Conf# l2ifj9a6c,19.78,"2,659.56",
12/4/23,Online Banking transfer to CHK 0472 Confirmation# XXXXX85276,"-1,000.00","1,659.56",
12/5/23,Zelle payment from BOLIN XIAO Conf# qo2424ict,29,"1,688.56",
12/8/23,Zelle payment from SIYU LI Conf# T0RS57T2C,300,"1,988.56",
12/8/23,Zelle payment from BOLIN XIAO Conf# jc362h7lu,96.88,"2,085.44",
12/8/23,Zelle payment from ZHUOXI WANG Conf# 99a682129,63,"2,148.44",
12/11/23,Zelle payment from JIALIN GAN Conf# 99a6bpy2x,34.78,"2,183.22",
12/13/23,Online Banking payment to CRD 7416 Confirmation# XXXXX06467,-50,"2,133.22",
12/21/23,Interest Earned,0.02,"2,133.24",
12/26/23,"Zelle payment to Yin Wang for Shiwei Haidilao""; Conf# ozq14rog6""",-44,"2,089.24",
12/26/23,"Zelle payment to XIYUAN for Thank u :)""; Conf# q7g6mdv5q""",-24.78,"2,064.46",
12/26/23,"Zelle payment to Ugur Ozkusen for Love u""; Conf# jhhdl4eyb""",-21,"2,043.46",
12/28/23,Zelle payment from BOLIN XIAO Conf# tikflcbei,56.45,"2,099.91",
12/28/23,Online Banking transfer to CHK 0472 Confirmation# XXXXX54358,-500,"1,599.91",
1/2/24,Zelle payment to BOLIN XIAO Conf# ma5tmc9h9,-6,"1,593.91",
1/2/24,Zelle payment to Ugur Ozkusen Conf# mjaucl6ib,-10,"1,583.91",
1/3/24,"Zelle payment from UGUR CIHAT OZKUSEN for Luv ya""; Conf# ngv4njkj8""",5,"1,588.91",
1/5/24,Zelle payment from BOLIN XIAO Conf# xpfb8xvo3,56.52,"1,645.43",
1/8/24,"Zelle payment from ZIHAO WANG for PSEG Fee""; Conf# h83219gh3""",134.5,"1,779.93",
1/8/24,Zelle payment from ZIHAO WANG Conf# pdp4k9ele,4.5,"1,784.43",
1/8/24,Zelle payment to JIAXU REN Conf# d14qsb0uj,-49,"1,735.43",
1/10/24,Zelle payment from JIALIN GAN Conf# 99a7s2aqy,37.36,"1,772.79",
1/10/24,"Zelle payment from ZIHAO WANG for Verizon""; Conf# phwip89jz""",30,"1,802.79",
1/10/24,Zelle payment from BOLIN XIAO Conf# q8jl7s01d,29.99,"1,832.78",
1/10/24,Zelle payment from MAOYING HAN Conf# qi57c9p5j,22.36,"1,855.14",
1/10/24,Zelle payment from YULU HE Conf# po9stfvbz,22.36,"1,877.50",
1/10/24,Online Banking payment to CRD 7416 Confirmation# XXXXX18648,-70,"1,807.50",
1/11/24,Zelle payment from XIAOAN LIU Conf# gjkrfuput,22.36,"1,829.86",
1/11/24,Zelle payment to BOLIN XIAO Conf# rw5do5o9r,-40.5,"1,789.36",
1/12/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX60993,-500,"1,289.36",
1/22/24,Zelle payment from JIAXU REN Conf# t3vl2i0d5,200,"1,489.36",
1/22/24,Zelle payment from BOLIN XIAO Conf# vbsxdnfc7,62.12,"1,551.48",
1/24/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX16196,-500,"1,051.48",
1/24/24,Interest Earned,0.01,"1,051.49",
1/26/24,Zelle payment from JIAXU REN Conf# xfh5cvsb2,200,"1,251.49",
1/29/24,Zelle payment from BOLIN XIAO Conf# tske0zsos,140.6,"1,392.09",
2/1/24,Zelle payment from BOLIN XIAO Conf# u6i5986l0,53.41,"1,445.50",
2/12/24,Online Banking payment to CRD 7416 Confirmation# XXXXX40858,-35,"1,410.50",
2/12/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX23840,-500,910.5,
2/12/24,"Zelle payment to ZHENBANG YANG for Thanks! (From Calvin""; Conf# mraqwnwhp""",-20,890.5,
2/13/24,"Zelle payment to BOLIN XIAO for Si gay zi""; Conf# n0jw1da2v""",-52,838.5,
2/22/24,Interest Earned,0.01,838.51,
2/26/24,WIRE TYPE:INTL IN DATE:240226 TIME:0510 ET TRN:XXXXXXXXXX275915 SEQ:110ORXXXXX9100/145599 ORIG:1/HE SHIWEI ID:XXXXXXXXXX741727 ORIG BK:CHINA MERCHANTS BANK ID:CMBCCNBS201 PMT DET: $15.00 FEE DEDUCTREMITTER'S DOB: 20000713,"1,485.00","2,323.51",
2/26/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX40470,-500,"1,823.51",
2/26/24,Zelle payment to YING LIU for From Calvin," thank you!""; Conf# m076nj00n""",-48.28,"1,775.23"
2/26/24,Wire Transfer Fee,-15,"1,760.23",
2/28/24,Zelle payment to Melody Conf# oheyhmzqw,-36,"1,724.23",
3/4/24,Zelle payment from BOLIN XIAO Conf# y9djc2lc8,22.35,"1,746.58",
3/4/24,"Zelle payment to HAORAN LU for Calvin""; Conf# jqeobv1gy""",-56.96,"1,689.62",
3/8/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX05647,-500,"1,189.62",
3/11/24,Online scheduled payment to CRD 7416 Confirmation# XXXXX36992,-80,"1,109.62",
3/11/24,Bank of America Credit Card Bill Payment,-40,"1,069.62",
3/14/24,"Zelle payment from SEWON KIM for karakatta""; Conf# 01WQTA0BO""",22,"1,091.62",
3/14/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX61515,-500,591.62,
3/15/24,Zelle payment from JIALIN GAN Conf# 99abq0z65,179.22,770.84,
3/18/24,Zelle payment from CHENGYING WANG Conf# j4ce4aj5p,31.72,802.56,
3/20/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX07045,-400,402.56,
3/22/24,Interest Earned,0.01,402.57,
3/26/24,WIRE TYPE:INTL IN DATE:240326 TIME:0448 ET TRN:XXXXXXXXXX129593 SEQ:110ORXXXXX8580/606255 ORIG:1/HE SHIWEI ID:XXXXXXXXXX741727 ORIG BK:CHINA MERCHANTS BANK ID:CMBCCNBS201 PMT DET: $15.00 FEE DEDUCTREMITTER'S DOB: 20000713,"3,985.00","4,387.57",
3/26/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX59100,"-2,387.57","2,000.00",
3/26/24,Online scheduled transfer to CHK 0472 Confirmation# XXXXX45325,-500,"1,500.00",
3/26/24,Wire Transfer Fee,-15,"1,485.00",
3/28/24,Online Banking transfer from CHK 0472 Confirmation# XXXXX30716,15,"1,500.00",
4/1/24,Zelle payment from BOLIN XIAO Conf# v8dqjzytq,500,"2,000.00",
4/8/24,Zelle payment from BOLIN XIAO Conf# s715catna,32,"2,032.00",
4/8/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX60257,"-1,000.00","1,032.00",
4/15/24,Zelle payment from JIALIN GAN Conf# 99afi24ql,141.85,"1,173.85",
4/15/24,Zelle payment from BOLIN XIAO Conf# ogd67890r,58.55,"1,232.40",
4/22/24,Zelle payment from BOLIN XIAO Conf# vi4ukzfya,52.63,"1,285.03",
4/22/24,"Zelle payment from BAIJIA YE for lobst""; Conf# murh5rnj6""",26,"1,311.03",
4/22/24,Zelle payment from TIANYU ZHAN Conf# 99afv58px,22,"1,333.03",
4/23/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX70648,-300,"1,033.03",
4/23/24,Interest Earned,0.01,"1,033.04",
4/25/24,Online Banking payment to CRD 7416 Confirmation# XXXXX21393,-50,983.04,
4/30/24,Zelle payment from BOLIN XIAO Conf# nlpek6mz5,31.75,"1,014.79",
4/30/24,Zelle payment to XIYUAN Conf# pxqekercb,-30,984.79,
5/2/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX34489,-500,484.79,
5/6/24,Zelle payment from ZIHAO WANG Conf# pycv8ui43,15,499.79,
5/6/24,Zelle payment to Ugur Ozkusen Conf# ru5bh03w0,-25,474.79,
5/8/24,Zelle payment to Shiwei He Conf# pyzsdokpd,-15,459.79,
5/14/24,Zelle payment to Melody Conf# lbsifkdv3,-26,433.79,
5/16/24,Online Banking payment to CRD 7416 Confirmation# XXXXX93258,-40,393.79,
5/16/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX99878,-200,193.79,
5/20/24,Zelle payment from CHENGYING WANG Conf# pczja6ti7,40,233.79,
5/20/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX61456,-100,133.79,
5/21/24,WIRE TYPE:INTL IN DATE:240521 TIME:0441 ET TRN:XXXXXXXXXX103398 SEQ:110ORXXXXX0269/479816 ORIG:1/HE SHIWEI ID:XXXXXXXXXX741727 ORIG BK:CHINA MERCHANTS BANK ID:CMBCCNBS201 PMT DET: $15.00 FEE DEDUCTREMITTER'S DOB: 20000713,"7,885.00","8,018.79",
5/21/24,Online Banking transfer from CHK 0472 Confirmation# XXXXX86718,21.21,"8,040.00",
5/21/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX25117,"-1,000.00","7,040.00",
5/21/24,"Zelle payment to Melody for Thank you :)""; Conf# qtjpcq3xq""",-40,"7,000.00",
5/21/24,Zelle payment to Zihao Wang Conf# m941yqc8i,-122,"6,878.00",
5/21/24,Online Banking transfer to CHK 0472 Confirmation# XXXXX34206,-878,"6,000.00",
5/21/24,Wire Transfer Fee,-15,"5,985.00",
5/23/24,Interest Earned,0.01,"5,985.01",
